"","lower","r","upper","p"
"SMN-AVT",-0.781308410104143,0.0826761031141503,0.838009677620459,0.876268404884509
"MPO-AVT",-0.907002727263841,-0.560688214398143,0.238031317436693,0.148260274749136
"VMHn-AVT",-0.838970820886104,-0.328517369709854,0.489465498606452,0.426913524487423
"PHn-AVT",-0.654949891646789,0.0923405526583533,0.748320359379401,0.827843155328179
"LHA-AVT",-0.592799272317182,0.192133510418426,0.789865530885008,0.648517311895695
"LPO-AVT",-0.811834467187947,-0.250422931059803,0.551586383666551,0.54971822744029
"PSTN-AVT",-0.691155843016278,0.129092284991906,0.803991200197923,0.782667636324357
"STN-AVT",-0.921699390909237,-0.619185057840803,0.151661080195821,0.101635031738865
"TN-AVT",-0.94243894996244,-0.70787127156973,-0.0063815966236446,0.0494676825063965
"ZI-AVT",-0.553318886577701,0.24808430579263,0.810982633554542,0.553575224172615
"FF-AVT",-0.727814468597013,0.0558594635203092,0.776263712255885,0.905317908207049
"SCO-AVT",-0.54216228136315,0.356411346577301,0.874701046612019,0.432623804015789
"reSN-AVT",-0.679703271364021,0.0479235071543551,0.72801120727927,0.91028090944749
"VTA-AVT",-0.876012815562125,-0.447716262399821,0.37538968176025,0.265966842161446
"PAG-AVT",-0.439264160061906,0.468903070089626,0.903075169120711,0.288510446744373
"PreCN-AVT",-0.300225264308758,0.585121177666832,0.928884624679343,0.167579484124205
"APTN-AVT",-0.529371406367979,0.2796027822099,0.82226588700471,0.502427343004266
"cSN-AVT",-0.756299166141192,-0.110535327162074,0.64432487274967,0.794428232637923
"FP-AMn",-0.673105060971114,0.0600513663761794,0.733677574748114,0.887674089234233
"M1-AMn",-0.384666639302171,0.439004744628305,0.873466617971825,0.276510450831325
"M2-AMn",-0.352943271793807,0.468167358567679,0.881897885435243,0.242018685574032
"S1-AMn",-0.195011679500648,0.590856412989374,0.914688968101716,0.122982734893825
"SS-AMn",-0.348207917432304,0.472372265939876,0.883092129407556,0.237236124533724
"GA-AMn",-0.382210909471114,0.44132596578847,0.874147393571727,0.273681262866566
"VA-AMn",-0.592225429580199,0.192985013617066,0.790197891872199,0.647036947063926
"AuA-AMn",-0.632822761643046,0.129677774876324,0.76449118018713,0.759566299881303
"ViA-AMn",-0.249063407734581,0.552594390022379,0.904900568882829,0.155488670330823
"dACC-AMn",-0.0951316666887625,0.653338955969899,0.929896553896735,0.0789481023649437
