"","lower","r","upper","p"
"PCn-VMHn",0.0342329616843935,0.767505239267776,0.963616243744011,0.0439678307263308
"CLT-VMHn",-0.44817794853784,0.460199274539651,0.901007211768123,0.29877139551767
"RT-VMHn",-0.765712872186596,-0.0298902894938725,0.73982053264121,0.949279333304531
"IGLLG-VMHn",-0.986787462073151,-0.909836141820782,-0.497960157228462,0.00446404500625955
"vlLGC-VMHn",-0.964117214510091,-0.770390730409994,-0.0412827896173138,0.0426878414536703
"subGn-VMHn",-0.790971000032105,-0.0937618923702758,0.709384550130407,0.841523621734499
"MHb-VMHn",-0.98203962730799,-0.879118792327238,-0.372990986725922,0.00913337201170259
"LHb-VMHn",-0.725915152361422,0.059872799682998,0.777859036255762,0.898538863260408
"SON-VMHn",-0.906141238826873,-0.357430383382439,0.639690046580701,0.486686448554351
"PVH-VMHn",-0.961586695736878,-0.755896199547748,-0.00658846942296832,0.0493286862801692
"IPVH-VMHn",-0.923966992940095,-0.561832195024447,0.331467080808209,0.189315584555977
"ArH-VMHn",-0.468391322763477,0.553614456045339,0.941960406902751,0.254416677014035
"ADPO-VMHn",-0.913391447406005,-0.393581730517125,0.614148083249422,0.440111603860631
"AVPO-VMHn",-0.297250126259369,0.587265344364064,0.929331368009557,0.165643785641668
"AVPV-VMHn",-0.754208605526355,-0.00266295690245499,0.75190298961319,0.995479239983654
"DMH-VMHn",-0.541955495993335,0.356666948242628,0.874769813196001,0.432269933627285
"MePO-VMHn",-0.941152151544104,-0.645799291350947,0.208806524257509,0.117158440690232
"MPA-VMHn",-0.808928888457205,-0.14295434014157,0.683706806907741,0.759785321767375
"PSN-VMHn",-0.844324370547455,-0.250611216907625,0.619329788646938,0.58778278649959
"SPZ-VMHn",-0.88238193063225,-0.249462487832288,0.70478550206506,0.633568484752945
"SCN-VMHn",-0.761997153588327,0.129887536778634,0.851672566154899,0.806264346355031
"AHN-VMHn",-0.767203655549509,-0.0335003208610218,0.73818037285392,0.943159996447349
"SMN-VMHn",-0.641543347326776,0.554677006998532,0.964797622098045,0.331865972934133
"MPO-VMHn",-0.8991558875416,-0.452478489046915,0.455936661861191,0.308005470730136
"VMHn-VMHn",NA,1,NA,0
"PHn-VMHn",-0.520134700388239,0.382903523425433,0.88171914788886,0.39654831340958
