"","lower","r","upper","p"
"DMH-MGCn",-0.753417564952664,-0.103913842315752,0.648225580274161,0.806559590415406
"MePO-MGCn",-0.924181759128452,-0.62940854223048,0.135252578169836,0.0944962481914863
"MPA-MGCn",-0.492465096477438,0.324987057671837,0.837796548940911,0.432194852083113
"PSN-MGCn",-0.54903577164927,0.347837983378779,0.872382332898549,0.444557045787096
"SPZ-MGCn",-0.761783114807772,-0.123296988656802,0.636694540074514,0.771150434545059
"SCN-MGCn",-0.80756258874637,-0.238760499501025,0.560157910959323,0.569046744722734
"AHN-MGCn",-0.398328720736201,0.425887075255242,0.869587230053154,0.292766711687768
"SMN-MGCn",-0.7911043615494,0.0571469618550268,0.830204785772612,0.914372871784258
"MPO-MGCn",-0.636395139894596,0.123792659568388,0.761994284594286,0.770249206050334
"VMHn-MGCn",-0.295968615458611,0.516406633527084,0.895286717673185,0.190107221454697
"PHn-MGCn",-0.876739946810337,-0.364022920569344,0.535957416325456,0.422133658247525
"LHA-MGCn",0.221206361288991,0.801018085013779,0.962437578766382,0.0168737235433743
"LPO-MGCn",-0.163133468768359,0.611878392562395,0.919909943428189,0.106920382969334
"PSTN-MGCn",-0.692397473510311,0.126750114042453,0.80314762132551,0.786546628294107
"STN-MGCn",0.177547613193537,0.784117279200906,0.958934548331398,0.021256455341891
"ZI-MGCn",-0.943880183776922,-0.7143219127905,-0.0194286580696427,0.0465119514604694
"FF-MGCn",-0.888165613778937,-0.407982951193405,0.498112770359451,0.363560206372168
"TN-MGCn",-0.370268647440355,0.530792299971035,0.917221124244801,0.220276061649439
"reSN-MGCn",-0.836479236000232,-0.321043646049795,0.49579288712589,0.438126287803156
"cSN-MGCn",-0.831780507813368,-0.307121956385557,0.507352459394005,0.459332832440148
"VTA-MGCn",-0.950428712332026,-0.744131332178816,-0.0829601534565021,0.0342532300569832
"PAG-MGCn",-0.959908234144726,-0.788789071395622,-0.189381803698573,0.0199815921373789
"SCO-MGCn",-0.905828424222819,-0.480623567675962,0.42697154447642,0.274945935735172
"PreCN-MGCn",-0.971874242057828,-0.81610592397907,-0.163580060288799,0.0251588319149731
"APTN-MGCn",-0.924597050015801,-0.564784307203593,0.327612403409929,0.186488682574532
"FP-Gpe",-0.725018364184813,0.0617589630035283,0.778605614021081,0.895354562454731
"PL-Gpe",-0.611518142700947,0.262358198764258,0.847896562540465,0.569775910740092
"IL-Gpe",-0.528679197513431,0.372800570153191,0.879068543616658,0.410160760534134
"dACC-Gpe",-0.639357315175967,0.118871893756613,0.759891867806371,0.779205951593571
"Vacc-Gpe",-0.610643132045655,0.16505249158884,0.779108814432874,0.696101160503788
"OA-Gpe",-0.791560241704229,-0.0953237459521047,0.708600789146738,0.838907607812974
"AU-Gpe",-0.738121656207965,-0.0697043593428009,0.667768541868499,0.869727049681189
"M2-Gpe",-0.650417010927211,0.100164387348894,0.751774702598193,0.813444167461528
"M1-Gpe",-0.668438287006001,0.0685004186345769,0.73757052951692,0.871962930748365
"S1-Gpe",-0.805977019394444,-0.234473173683164,0.563266537448156,0.576210520495014
"SS-Gpe",-0.85738436702394,-0.385805979473932,0.43792406307803,0.345190652617836
"GA-Gpe",-0.798699847127781,-0.215077046765439,0.577053520202729,0.608994282005497
"AuA-Gpe",-0.935986723040884,-0.679464386269445,0.0483663657886006,0.0638081340642341
"RS-Gpe",-0.787093629999096,-0.185066828733683,0.597531073594615,0.660841398192887
"AA-Gpe",-0.697634952564993,0.0138435044890435,0.711574917953208,0.97404674514916
"ViA-Gpe",-0.891964981211659,-0.504210023998528,0.310941345114734,0.202615938137491
"TeAA-Gpe",-0.941801561851801,-0.705030888444937,-0.000711390142819986,0.0508040564889349
"Prh-Gpe",-0.97375248168532,-0.857424612789808,-0.38593530683298,0.00649289986273422
"lpEC-Gpe",-0.986301304611648,-0.923431759253899,-0.626308917251682,0.00105878160571734
"Ech-Gpe",-0.916570157300734,-0.598380581319344,0.183789508483958,0.117087490387989
"VA-Gpe",-0.873520216292949,-0.439187287210143,0.384473940347015,0.276287442005739
"aOn-Gpe",-0.668788996853959,0.169773147270129,0.818222314837611,0.715919745018429
"TT-Gpe",-0.753495467551191,-0.001011059508347,0.7526200846765,0.998283572946491
"DPA-Gpe",-0.684289000291308,0.141882484111587,0.808550413861395,0.761549880879447
"PC-Gpe",-0.736574846914849,-0.0663302713461377,0.66964251607192,0.875995051757379
"PAA-Gpe",0.0818140285020793,0.743615914767692,0.950317019175709,0.0344460265144418
"FC-Gpe",0.0133260386706638,0.711319323923909,0.943210416452203,0.0478741136863207
"IG-Gpe",-0.861190927005394,-0.398120708768077,0.426089430157205,0.328650747963108
"CA1-Gpe",-0.770636777101661,-0.144355832101511,0.623769171289038,0.733069525432809
"CA2-Gpe",-0.280075229654925,0.529002362767463,0.898673496892082,0.177632621928435
"CA3-Gpe",-0.729843682380187,-0.0518237804635731,0.677594080956027,0.903004250636272
"DG-Gpe",-0.500129048997714,0.31586246843795,0.834739339542872,0.445970493422057
"proSb-Gpe",-0.793247357779442,-0.200839909772857,0.586894048299399,0.633429144486948
"Sub-Gpe",-0.849802595235168,-0.361768601626337,0.460230119101205,0.378543912212014
"Clst-Gpe",-0.792766447638855,-0.199596088503255,0.587742848123117,0.635578076457919
"dEPn-Gpe",-0.825208838454278,-0.288020503585076,0.522749870060082,0.489084500773786
"vEPn-Gpe",-0.882609243675832,-0.470669781228553,0.350130228408862,0.239166637620115
"LAn-Gpe",-0.756199978333033,-0.110306451887701,0.64446036141464,0.794846972730615
"BLA-Gpe",-0.768683539249772,-0.13966067667588,0.626687792263984,0.741521426200897
"BMe-Gpe",-0.933696257196962,-0.669561898429371,0.0664757705952856,0.0693238049532169
"CCA-Gpe",0.281115869439703,0.822797031435193,0.966873818688598,0.0121275700449928
"PAn-Gpe",-0.9707305573575,-0.842081219353026,-0.33793785771328,0.00871630936197561
"aAA-Gpe",0.0182532520873775,0.713745576229773,0.94375177049766,0.0467715760412779
"CA-Gpe",-0.293572756323829,0.518328155417867,0.895806229064848,0.188174980323617
"IAn-Gpe",-0.911003230589516,-0.576276133977125,0.216187588999042,0.134871374209638
"MAn-Gpe",0.503967464260567,0.891898492959737,0.980395845409513,0.00290765205191465
"LSN-Gpe",-0.721600814734851,-0.0344407528686782,0.68690294332014,0.935474635738832
"SFn-Gpe",-0.0338108359625239,0.738038867903824,0.958420264221285,0.0582384732142005
"DLS-Gpe",-0.00973583377930873,0.699737700077434,0.940609199327628,0.0533517625117552
"DMS-Gpe",-0.401297808003689,0.422989718839375,0.868722923374425,0.296418232247862
"NACC.S-Gpe",-0.927110603574973,-0.641603481184558,0.115115566874112,0.0863703319448144
"NACC.C-Gpe",-0.938232783448002,-0.689266503616444,0.0299565387189923,0.0586132857793248
